FEN,Moves,Rating,Themes
3rr1k1/p4p2/2BBb1p1/4b2p/4P1qP/6P1/P2Q1P2/3R1RK1 w - - 3 23,f2f3 g4g3 d2g2 e5d6 g2g3 d6g3 c6e8 d8e8,2358,advantage deflection middlegame veryLong
r4kr1/p4p1p/2p2p2/8/4N3/7b/PPP2PPP/3R1RK1 w - - 1 19,e4f6 g8g2 g1h1 g2g6 f6d7 f8g7 d7e5 h3f1,2358,advantage endgame veryLong
8/7p/8/K1k2p2/1P1p1P2/8/7P/8 b - - 0 41,c5c6 b4b5 c6c7 a5b4 d4d3 b4c3 d3d2 c3d2,2358,crushing endgame pawnEndgame veryLong
8/3b4/B7/3pPp2/kp1P1Pp1/6P1/1K6/8 b - - 9 53,a4a5 a6b7 d7e6 b7c6,2358,bishopEndgame crushing endgame short
k7/p1q1p2p/Q1p1P1p1/3p4/P2P4/1RP4P/1P4r1/2K5 w - - 0 29,c3c4 g2g1 c1c2 c7h2 c2c3 g1c1,2358,crushing endgame long
5R2/5ppk/7p/5P2/2r5/2r3P1/2n2K1P/3R4 b - - 2 38,f7f6 d1d8 c3f3 f2f3 c2d4 f3e4 d4f5 e4f5,2358,advantage endgame quietMove veryLong
2R5/1p1k4/p7/P2Pp3/3pnP2/5b2/1P6/4K1R1 w - - 1 35,c8b8 d4d3 g1g7 d7d6 f4e5 d6c5 g7c7 c5d4 c7c2 d3c2,2358,advancedPawn crushing endgame master veryLong
6k1/2p3p1/2p4p/P7/1P1p2P1/4p1b1/1R6/1N1rBK2 w - - 3 39,a5a6 d1e1 f1g2 e3e2 a6a7 e1g1 g2g1 e2e1q g1g2 e1e4,2358,advancedPawn attraction crushing endgame exposedKing promotion veryLong
2k5/ppp5/3pNnp1/4p3/4p2b/1P2Bqp1/P1P2PQ1/4RK2 b - - 6 25,g3f2 e3f2 h4f2 g2f3 e4f3 f1f2,2358,advantage long middlegame
2kr4/1bp2p2/1pBp4/1Q1P3p/1P6/4RK2/2q2Pr1/5R2 b - - 1 33,g2g4 f1a1 c2c4 b5c4 g4c4 b4b5,2358,crushing defensiveMove long middlegame quietMove
2r3k1/pp1q1bbp/3p2p1/PP1n1p2/8/1Q3NPP/R3B1P1/4R1K1 w - - 2 29,e2c4 c8c4 b3c4 d5c3 c4h4 f7a2,2358,advantage discoveredAttack long middlegame sacrifice skewer
6r1/4B3/8/PKP5/3Pk3/8/8/8 b - - 0 65,e4d4 a5a6 g8b8 b5a5 d4d5 a6a7,2358,advancedPawn crushing defensiveMove endgame long
8/6p1/2R5/r3KBkp/4P1p1/8/8/8 w - - 4 54,e5e6 g7g6 f5g4 h5g4,2358,crushing endgame master short trappedPiece
6k1/7p/1pp3b1/4N3/P1P2p2/1q3P2/4Q1KP/8 b - - 0 31,b3c2 e2c2 g6c2 c4c5 b6c5 a4a5,2358,crushing defensiveMove endgame long
5k2/1p6/p2pP3/P1pP2N1/2P5/1n5K/8/8 w - - 0 43,h3g4 b3a5 g4f5 f8e7 g5f7 a5c4,2358,crushing endgame knightEndgame long
r2qkbnr/3n1ppp/4b3/pB2N3/1p2P3/1Pp5/N4PPP/R1BQK2R b KQkq - 3 13,d8c7 b5d7 e6d7 d1d5,2358,advantage opening short
